Dark voltage	-1.307871 
Blank voltage	3.471793 
Slope	18.749921 
Intercept	-1.152834 
R-squared	0.951998 

Concentration (volts)	Voltage
0.000000	3.006187
10.000000	0.204007
20.000000	-1.003227
30.000000	-1.258707
40.000000	-1.281153
50.000000	-1.288336
